"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Indians","1859","6554","209","1009","960","147","11.3 %","16.8 %",".177",".323",".289",".373",".467",".367","112","6.9","114.5","18.6","34.4","30","1859","5634","6554","1629","1079","309","32","209","1009","960","743","41","1099","55","67","54","136","147","50",".289","","","","","","","","","","","11.3 %","16.8 %","0.68",".373",".467",".840",".177",".323","","","","","","","","",".367","147.3","1001","107.5","35.0","210.8","-16.4","366.2","34.4","","5.1","112","11.46","-116.43","127.88","125.37","11.39","1.02","1.78","84","6.93","4.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.6","6.9","","23 - 40","114.5","22.3","","","","","","","","31.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rangers","1807","6389","230","945","897","111","9.6 %","14.7 %",".186",".313",".293",".361",".479",".363","109","-2.1","74.6","-20.4","26.3","30","1807","5651","6389","1653","1090","304","29","230","945","897","611","41","937","29","62","35","147","111","54",".293","","","","","","","","","","","9.6 %","14.7 %","0.65",".361",".479",".840",".186",".313","","","","","","","","",".363","123.9","956","76.7","-3.0","205.5","-17.4","281.5","26.3","","4.7","109","7.55","-104.61","112.17","76.93","6.60","0.92","1.36","54","4.74","3.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-20.4","-2.1","","21 - 39","74.6","21.8","","","","","","","","27.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Yankees","1891","6416","193","900","855","104","11.2 %","15.2 %",".171",".309",".282",".366",".453",".358","111","-4.9","90.5","-39.9","25.9","31","1891","5568","6416","1568","1037","302","36","193","900","855","718","47","978","55","53","22","137","104","57",".282","","","","","","","","","","","11.2 %","15.2 %","0.73",".366",".453",".819",".171",".309","","","","","","","","",".358","96.4","932","95.3","-20.0","206.4","-19.9","278.8","25.9","","4.7","111","9.71","-107.62","117.33","125.92","11.85","0.98","1.36","99","9.87","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-39.9","-4.9","","21 - 39","90.5","21.9","","","","","","","","29.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rockies","2282","6369","223","906","863","70","8.0 %","13.6 %",".184",".304",".288",".348",".472",".354","84","-5.3","-146.1","-45.2","1.3","29","2282","5717","6369","1644","1077","305","39","223","906","863","508","31","863","43","46","54","125","70","43",".288","","","","","","","","","","","8.0 %","13.6 %","0.59",".348",".472",".819",".184",".304","","","","","","","","",".354","72.0","901","-140.8","-87.0","204.9","41.8","19.7","1.3","","4.5","84","-0.19","-116.55","116.35","1.40","-1.34","1.00","1.26","291","-0.91","0.71","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-45.2","-5.3","","22 - 36","-146.1","6.2","","","","","","","","25.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Blue Jays","1862","6370","212","883","856","119","9.1 %","16.9 %",".177",".311",".280",".352",".457",".353","104","2.2","37.0","-10.1","23.7","28","1862","5642","6370","1580","1017","337","14","212","883","856","578","29","1077","76","45","28","129","119","48",".280","","","","","","","","","","","9.1 %","16.9 %","0.54",".352",".457",".810",".177",".311","","","","","","","","",".353","68.6","898","34.8","9.0","204.9","-19.1","253.5","23.7","","4.3","104","1.45","-113.82","115.27","21.27","1.77","0.99","1.93","61","2.24","-0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.1","2.2","","20 - 37","37.0","21.7","","","","","","","","29.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Athletics","1928","6442","235","893","845","70","12.0 %","17.5 %",".187",".285",".259",".355",".446",".351","106","-2.6","52.4","-67.3","19.7","29","1928","5519","6442","1430","888","287","20","235","893","845","770","32","1129","71","41","39","129","70","37",".259","","","","","","","","","","","12.0 %","17.5 %","0.68",".355",".446",".801",".187",".285","","","","","","","","",".351","57.7","896","55.0","-50.0","207.2","-17.3","214.3","19.7","","3.9","106","6.97","-105.50","112.48","46.82","4.04","0.93","1.49","136","3.91","3.59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-67.3","-2.6","","21 - 40","52.4","21.9","","","","","","","","33.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mets","2323","6454","181","853","814","150","11.1 %","15.4 %",".156",".308",".279",".363",".434",".350","105","2.5","46.0","57.0","29.7","30","2323","5572","6454","1553","1061","297","14","181","853","814","717","53","994","48","54","63","149","150","61",".279","","","","","","","","","","","11.1 %","15.4 %","0.72",".363",".434",".797",".156",".308","","","","","","","","",".350","47.8","888","43.5","21.0","207.6","36.0","316.9","29.7","","4.3","105","8.28","-111.82","120.10","90.07","9.09","1.01","1.27","306","11.31","-3.09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0","2.5","","23 - 40","46.0","6.2","","","","","","","","29.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Orioles","1958","6409","203","851","804","107","9.6 %","13.9 %",".169",".298",".279",".353",".447",".350","107","0.7","56.7","21.7","28.9","30","1958","5637","6409","1572","1049","299","21","203","851","804","615","34","890","61","55","41","146","107","46",".279","","","","","","","","","","","9.6 %","13.9 %","0.69",".353",".447",".800",".169",".298","","","","","","","","",".350","50.1","885","56.0","39.0","206.2","-17.3","306.4","28.9","","4.3","107","-1.04","-115.30","114.26","21.74","2.48","1.01","1.49","115","1.23","-2.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7","0.7","","22 - 40","56.7","21.8","","","","","","","","26.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Red Sox","1862","6321","176","836","808","67","9.4 %","14.7 %",".170",".303",".278",".350",".448",".349","102","-4.1","8.2","23.0","24.2","28","1862","5579","6321","1551","999","334","42","176","836","808","597","27","928","55","56","34","131","67","39",".278","","","","","","","","","","","9.4 %","14.7 %","0.64",".350",".448",".798",".170",".303","","","","","","","","",".349","41.8","865","12.3","44.0","203.3","-21.0","256.1","24.2","","4.4","102","0.53","-109.64","110.17","15.80","1.37","0.96","1.59","79","1.84","-1.29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-4.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.0","-4.1","","21 - 36","8.2","21.5","","","","","","","","26.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Diamondbacks","2100","6415","216","908","865","137","9.2 %","16.3 %",".182",".303",".277",".347",".459",".348","98","9.9","-7.3","84.6","27.3","29","2100","5658","6415","1566","1015","289","46","216","908","865","588","52","1045","48","60","61","94","137","39",".277","","","","","","","","","","","9.2 %","16.3 %","0.56",".347",".459",".805",".182",".303","","","","","","","","",".348","36.4","872","-17.2","39.0","206.4","45.6","289.9","27.3","","5.4","98","11.34","-109.90","121.24","124.22","12.10","0.98","1.32","216","8.74","2.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.6","9.9","","20 - 37","-7.3","6.2","","","","","","","","28.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Giants","2107","6449","188","872","828","109","10.8 %","15.9 %",".163",".301",".271",".356",".434",".347","104","-3.4","30.2","-1.1","22.4","29","2107","5563","6449","1507","994","307","18","188","872","828","696","40","1028","60","42","87","129","109","56",".271","","","","","","","","","","","10.8 %","15.9 %","0.68",".356",".434",".790",".163",".301","","","","","","","","",".347","31.9","872","33.6","-45.0","207.5","43.9","242.8","22.4","","4.3","104","7.51","-105.05","112.56","104.55","9.62","0.96","1.20","231","8.23","-0.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1.1","-3.4","","22 - 37","30.2","6.2","","","","","","","","29.7 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mariners","1915","6310","244","859","825","130","9.7 %","17.4 %",".186",".293",".269",".343",".455",".346","105","5.8","47.4","-71.7","18.3","29","1915","5572","6310","1499","971","263","21","244","859","825","610","38","1095","42","48","38","114","130","45",".269","","","","","","","","","","","9.7 %","17.4 %","0.56",".343",".455",".798",".186",".293","","","","","","","","",".346","31.7","853","41.6","-56.0","203.0","-15.7","200.1","18.3","","4.6","105","-1.48","-107.91","106.43","-12.44","-1.33","0.94","1.79","113","0.42","-1.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.7","5.8","","22 - 36","47.4","21.5","","","","","","","","30.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Reds","2274","6378","209","865","820","164","8.9 %","17.6 %",".179",".304",".272",".341",".451",".344","96","8.4","-25.3","137.4","30.8","28","2274","5650","6378","1536","978","312","37","209","865","820","569","37","1125","45","43","70","107","164","54",".272","","","","","","","","","","","8.9 %","17.6 %","0.51",".341",".451",".792",".179",".304","","","","","","","","",".344","12.7","843","-33.7","95.0","205.2","42.4","323.4","30.8","","5.5","96","7.38","-112.96","120.34","78.21","6.96","1.02","1.51","244","4.57","2.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137.4","8.4","","20 - 35","-25.3","6.2","","","","","","","","29.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
