"Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (pfx)","FT% (pfx)","FC% (pfx)","FS% (pfx)","FO% (pfx)","SI% (pfx)","SL% (pfx)","CU% (pfx)","KC% (pfx)","EP% (pfx)","CH% (pfx)","SC% (pfx)","KN% (pfx)","UN% (pfx)","vFA (pfx)","vFT (pfx)","vFC (pfx)","vFS (pfx)","vFO (pfx)","vSI (pfx)","vSL (pfx)","vCU (pfx)","vKC (pfx)","vEP (pfx)","vCH (pfx)","vSC (pfx)","vKN (pfx)","FA-X (pfx)","FT-X (pfx)","FC-X (pfx)","FS-X (pfx)","FO-X (pfx)","SI-X (pfx)","SL-X (pfx)","CU-X (pfx)","KC-X (pfx)","EP-X (pfx)","CH-X (pfx)","SC-X (pfx)","KN-X (pfx)","FA-Z (pfx)","FT-Z (pfx)","FC-Z (pfx)","FS-Z (pfx)","FO-Z (pfx)","SI-Z (pfx)","SL-Z (pfx)","CU-Z (pfx)","KC-Z (pfx)","EP-Z (pfx)","CH-Z (pfx)","SC-Z (pfx)","KN-Z (pfx)","wFA (pfx)","wFT (pfx)","wFC (pfx)","wFS (pfx)","wFO (pfx)","wSI (pfx)","wSL (pfx)","wCU (pfx)","wKC (pfx)","wEP (pfx)","wCH (pfx)","wSC (pfx)","wKN (pfx)","wFA/C (pfx)","wFT/C (pfx)","wFC/C (pfx)","wFS/C (pfx)","wFO/C (pfx)","wSI/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wKC/C (pfx)","wEP/C (pfx)","wCH/C (pfx)","wSC/C (pfx)","wKN/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Zone% (pfx)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)"
"Phillies","2206","6386","161","841","797","125","9.9 %","16.9 %",".156",".313",".275",".351",".431",".343","96","9.3","-27.9","73.4","24.2","29","2206","5598","6386","1539","1032","302","44","161","841","797","631","37","1081","46","41","70","127","125","35",".275","","","","","","","","","","","9.9 %","16.9 %","0.58",".351",".431",".782",".156",".313","","","","","","","","",".343","7.4","839","-37.2","35.0","205.4","38.4","257.1","24.2","","5.2","96","-3.81","-110.68","106.87","18.96","1.59","0.96","1.13","237","0.11","-4.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.4","9.3","","22 - 34","-27.9","6.2","","","","","","","","29.3 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Royals","1865","6325","151","856","800","127","8.5 %","14.7 %",".151",".312",".282",".348",".433",".342","94","7.9","-40.4","16.7","19.0","27","1865","5624","6325","1584","1087","294","52","151","856","800","535","25","932","64","56","46","156","127","39",".282","","","","","","","","","","","8.5 %","14.7 %","0.57",".348",".433",".781",".151",".312","","","","","","","","",".342","8.1","832","-48.3","33.0","203.5","-16.3","201.3","19.0","","5.6","94","-4.63","-116.68","112.05","-3.83","-0.37","1.01","1.36","102","-1.96","-2.61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.7","7.9","","21 - 34","-40.4","21.5","","","","","","","","25.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brewers","2281","6433","165","815","777","81","10.2 %","16.6 %",".153",".309",".273",".353",".426",".342","97","1.4","-28.8","11.0","18.0","28","2281","5582","6433","1524","1030","299","30","165","815","777","658","44","1065","55","51","87","110","81","33",".273","","","","","","","","","","","10.2 %","16.6 %","0.62",".353",".426",".779",".153",".309","","","","","","","","",".342","3.5","841","-30.2","-30.0","207.0","41.0","195.4","18.0","","4.3","97","-0.59","-117.17","116.58","3.35","0.10","1.04","1.29","281","1.52","-2.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0","1.4","","23 - 33","-28.8","6.2","","","","","","","","29.4 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Astros","2043","6403","168","823","784","166","11.4 %","17.8 %",".154",".306",".267",".355",".420",".341","101","-0.7","7.5","71.8","27.4","29","2043","5485","6403","1463","979","293","23","168","823","784","728","57","1138","52","58","79","127","166","75",".267","","","","","","","","","","","11.4 %","17.8 %","0.64",".355",".420",".775",".154",".306","","","","","","","","",".341","-3.9","830","8.2","29.0","206.0","42.8","291.5","27.4","","4.6","101","5.43","-116.58","122.01","79.23","7.90","1.08","1.43","239","7.90","-2.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.8","-0.7","","22 - 37","7.5","6.2","","","","","","","","31.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Braves","2204","6351","197","840","791","148","9.6 %","15.1 %",".170",".288",".266",".341",".436",".338","95","-0.2","-44.1","85.4","23.8","29","2204","5569","6351","1481","952","309","23","197","840","791","608","62","962","53","47","73","120","148","66",".266","","","","","","","","","","","9.6 %","15.1 %","0.63",".341",".436",".777",".170",".288","","","","","","","","",".338","-18.7","808","-43.9","42.0","204.3","43.4","251.7","23.8","","4.7","95","8.53","-111.83","120.36","89.61","9.27","1.03","1.47","265","7.47","0.84","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85.4","-0.2","","22 - 40","-44.1","6.1","","","","","","","","27.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"White Sox","1904","6264","162","777","742","110","8.0 %","12.9 %",".152",".297",".277",".337",".429",".335","94","-0.5","-53.4","-37.7","12.2","26","1904","5644","6264","1563","1066","298","37","162","777","742","499","22","810","34","45","40","138","110","50",".277","","","","","","","","","","","8.0 %","12.9 %","0.62",".337",".429",".766",".152",".297","","","","","","","","",".335","-29.7","786","-52.9","-21.0","201.5","-16.7","131.7","12.2","","4.6","94","-2.33","-111.03","108.70","-39.51","-3.73","0.99","2.12","68","-3.29","0.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-37.7","-0.5","","22 - 36","-53.4","21.3","","","","","","","","23.5 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tigers","1902","6096","212","747","704","108","7.5 %","17.2 %",".181",".287",".261",".326",".443",".334","92","-10.1","-73.6","19.8","15.5","27","1902","5481","6096","1433","898","289","34","212","747","704","458","19","1049","82","39","35","108","108","70",".261","","","","","","","","","","","7.5 %","17.2 %","0.44",".326",".443",".768",".181",".287","","","","","","","","",".334","-35.0","759","-63.6","37.0","196.1","-17.2","163.1","15.5","","4.7","92","-10.17","-108.27","98.10","-82.05","-7.43","0.93","1.52","83","-5.73","-5.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","-10.1","","22 - 35","-73.6","20.8","","","","","","","","28.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cardinals","2275","6354","194","809","763","134","9.6 %","18.9 %",".163",".300",".262",".338",".426",".334","92","5.2","-64.6","38.5","17.2","28","2275","5570","6354","1461","966","274","27","194","809","763","613","51","1202","51","44","75","110","134","48",".262","","","","","","","","","","","9.6 %","18.9 %","0.51",".338",".426",".764",".163",".300","","","","","","","","",".334","-40.4","787","-69.8","-2.0","204.4","40.5","184.5","17.2","","4.9","92","-0.91","-122.50","121.58","8.88","0.79","1.10","1.45","260","1.02","-1.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5","5.2","","19 - 40","-64.6","6.1","","","","","","","","31.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dodgers","2104","6338","187","793","761","167","9.4 %","16.3 %",".154",".294",".266",".339",".420",".334","97","2.7","-21.9","48.2","22.1","28","2104","5567","6338","1480","1017","253","23","187","793","761","594","34","1030","52","51","74","109","167","68",".266","","","","","","","","","","","9.4 %","16.3 %","0.58",".339",".420",".760",".154",".294","","","","","","","","",".334","-45.0","780","-24.6","5.0","203.9","43.2","236.4","22.1","","4.7","97","-3.66","-115.63","111.97","9.02","0.68","1.02","1.28","231","2.06","-5.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.2","2.7","","20 - 36","-21.9","6.1","","","","","","","","28.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Devil Rays","1833","6272","145","772","728","73","8.7 %","16.6 %",".137",".312",".274",".343",".411",".333","92","-7.5","-75.0","-71.2","6.8","29","1833","5586","6272","1531","1085","272","29","145","772","728","544","24","1042","64","48","30","157","73","49",".274","","","","","","","","","","","8.7 %","16.6 %","0.52",".343",".411",".754",".137",".312","","","","","","","","",".333","-40.7","776","-67.5","-55.0","201.8","-16.2","77.0","6.8","","4.1","92","-9.38","-114.75","105.37","-71.75","-6.60","0.99","1.59","61","-5.68","-3.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-71.2","-7.5","","23 - 41","-75.0","21.4","","","","","","","","27.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pirates","2250","6234","171","775","735","112","9.2 %","19.2 %",".160",".301",".259",".334",".419",".330","88","2.6","-102.9","45.7","14.0","28","2250","5468","6234","1417","924","282","40","171","775","735","573","40","1197","60","45","87","111","112","44",".259","","","","","","","","","","","9.2 %","19.2 %","0.48",".334",".419",".753",".160",".301","","","","","","","","",".330","-66.4","745","-105.5","5.0","200.5","40.7","149.3","14.0","","5.0","88","-4.91","-112.75","107.83","-6.78","-0.96","1.02","1.51","237","0.32","-5.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.7","2.6","","21 - 35","-102.9","6.0","","","","","","","","31.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cubs","2273","6201","189","747","717","60","9.2 %","18.9 %",".163",".293",".257",".329",".420",".328","87","-7.8","-113.6","20.0","10.3","29","2273","5482","6201","1411","932","255","35","189","747","717","571","38","1170","39","44","65","120","60","44",".257","","","","","","","","","","","9.2 %","18.9 %","0.49",".329",".420",".749",".163",".293","","","","","","","","",".328","-75.5","732","-105.8","-20.0","199.5","40.0","111.8","10.3","","4.1","87","-4.00","-114.59","110.59","-85.48","-8.03","1.02","1.34","309","-7.43","3.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-7.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.0","-7.8","","22 - 40","-113.6","6.0","","","","","","","","31.1 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Expos","2385","6151","163","718","680","70","7.1 %","15.3 %",".162",".292",".265",".323",".427",".326","86","-9.0","-125.4","5.4","7.6","26","2385","5559","6151","1473","943","320","47","163","718","680","438","39","939","53","28","71","138","70","51",".265","","","","","","","","","","","7.1 %","15.3 %","0.47",".323",".427",".751",".162",".292","","","","","","","","",".326","-80.7","720","-116.4","-33.0","197.9","38.4","83.8","7.6","","4.5","86","-4.99","-114.50","109.51","-85.15","-8.57","1.01","1.50","241","-4.30","-0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-9.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.4","-9.0","","21 - 33","-125.4","6.0","","","","","","","","25.0 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Padres","2305","6136","153","710","671","174","10.3 %","19.1 %",".141",".294",".252",".332",".393",".322","90","4.5","-77.1","61.1","17.6","29","2305","5394","6136","1360","929","256","22","153","710","671","631","31","1169","35","40","36","132","174","67",".252","","","","","","","","","","","10.3 %","19.1 %","0.54",".332",".393",".725",".141",".294","","","","","","","","",".322","-105.9","693","-81.6","22.0","197.4","39.1","187.3","17.6","","4.7","90","-5.05","-116.52","111.46","-35.78","-3.45","1.06","1.45","289","-2.28","-2.49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.1","4.5","","21 - 39","-77.1","5.9","","","","","","","","31.8 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marlins","2214","6216","128","691","655","92","7.7 %","18.4 %",".132",".307",".263",".325",".395",".317","84","-2.3","-135.2","44.3","10.8","26","2214","5578","6216","1465","1027","266","44","128","691","655","479","30","1145","59","56","44","119","92","46",".263","","","","","","","","","","","7.7 %","18.4 %","0.42",".325",".395",".719",".132",".307","","","","","","","","",".317","-130.2","679","-132.9","7.0","200.0","37.3","115.1","10.8","","4.6","84","-5.92","-113.35","107.43","-48.91","-4.94","1.02","1.36","254","-5.40","-0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.3","-2.3","","21 - 34","-135.2","6.0","","","","","","","","28.2 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angels","1797","6132","158","711","673","71","8.3 %","16.7 %",".139",".286",".256",".322",".395",".316","80","-6.1","-170.9","52.6","9.8","30","1797","5494","6132","1404","976","248","22","158","711","673","511","24","1022","43","42","41","135","71","45",".256","","","","","","","","","","","8.3 %","16.7 %","0.50",".322",".395",".716",".139",".286","","","","","","","","",".316","-131.3","667","-164.9","70.0","197.3","-17.4","99.9","9.8","","3.8","80","-10.83","-111.90","101.07","-91.72","-8.80","0.98","1.46","106","-9.73","-1.28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-6.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.6","-6.1","","22 - 39","-170.9","20.9","","","","","","","","27.6 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Twins","1957","6124","105","686","643","118","8.2 %","16.0 %",".120",".301",".264",".328",".384",".315","79","-3.5","-179.4","-23.7","1.3","26","1957","5495","6124","1450","1030","285","30","105","686","643","500","28","978","49","56","24","151","118","60",".264","","","","","","","","","","","8.2 %","16.0 %","0.51",".328",".384",".712",".120",".301","","","","","","","","",".315","-134.1","663","-175.9","-8.0","197.0","-15.7","14.8","1.3","","4.5","79","-16.63","-116.16","99.53","-137.70","-12.60","1.02","1.73","158","-13.36","-2.92","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-3.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-23.7","-3.5","","21 - 37","-179.4","20.9","","","","","","","","25.9 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
